"HMDB.ID","Compound.Name","CSM5FZ3N","CSM5FZ3T","CSM5FZ48","CSM5FZ4A","CSM5FZ4O","CSM5MCTZ","CSM5MCU4","CSM5MCVH","CSM5MCWK","CSM5MCXB","CSM5MCXF","CSM5MCYU","CSM67U9T","CSM67U9V","CSM67U9X","CSM67UH7","CSM79HG4","CSM79HJE","CSM79HJG","CSM79HJI","CSM79HQL","CSM79HQN","CSM79HQR","CSM7KOQ7","ESM5MEB9","ESM5MEDZ","ESM5MEEG","HSM5FZBJ","HSM5MD3L","HSM5MD4S","HSM5MD5Z","HSM5MD7Z","HSM5MD82","HSM5MD86","HSM5MD87","HSM5MD8A","HSM5MD8H","HSM67VDR","HSM67VDX","HSM6XRQB","HSM6XRQC","HSM6XRQE","HSM7J4JT","HSM7J4JV","HSM7J4JW","HSM7J4LP","HSMA33NW","HSMA33NY","MSM5LLDI","MSM5LLEH","MSM5LLFG","MSM5LLIC","MSM5LLIS","MSM6J2H9","MSM6J2JF","MSM6J2JH","MSM6J2NA","MSM6J2PO","MSM6J2Q1","MSM79H8D","MSM79H94","MSM79HD6","MSM9VZFJ","MSM9VZM4","MSM9VZMM","PSM6XBQM","PSM6XBRK","PSM6XBSE","PSM7J188","PSMA265X"
"HMDB04705","12.13-diHOME",942546,470132,1069292,1265301,524759,5745981,856432,8915552,1714916,200818,6508451,694805,1352516,697774,2659745,886144,4300596,471848,1546925,3769522,1565998,1084932,5221261,705432,1712791,5759125,2289541,4355470,1340638,1876005,1274585,1577140,1063114,1450805,790901,473635,623579,2770186,3559837,1350963,3048777,221979,1074560,1888627,1480631,1131089,1989470,3361853,404476,2125668,1971720,2322948,7904568,745046,4944628,975473,1562773,1897492,2599591,567393,3480357,3119960,946500,1237421,2481188,6295050,2384194,4071076,638602,1563896
"HMDB04704","9.10-diHOME",1418451,416924,1256069,1368667,541578,1260673,994782,9004716,1185159,45804,3081036,981806,1675589,1463883,974412,627537,3419118,581102,1748131,3205090,1588610,1669634,4244221,764215,1409935,3515867,3646246,1512589,1440124,2549569,731634,1066675,1585741,872501,807011,946753,860876,2056011,3417221,1226020,3628155,163493,1082809,1828069,3293516,866934,2557588,2479784,496789,1613974,4323277,2388903,4721028,999101,2955064,648506,1133721,1366931,2278663,771078,1921336,1456450,825209,1594504,1503852,4113128,1436963,2909581,1093483,964505
"HMDB00535","caproate",2194,28,773,542,13205,424,2953,15,235913,199480,853,1152,578,50655,1032,2656,28497,340,2962,NA,90521,NA,327,46,790,161,235,9636,2880,151,1031,1384,778,120,73,42976,1610,498,30720,NA,17,4936,8109,3717,2553,76,2177,2625,1627,61,1892,51832,19937,55,4178,54665,33088,9217,39467,95211,1815,11008,2396,2813,2145,1315,897,41,667,1003
"HMDB00666","heptanoate",NA,NA,NA,NA,5664,NA,NA,NA,124095,10577,26,NA,55,29319,NA,174,1365,NA,213,NA,55569,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,59,NA,207,NA,2134,NA,NA,582,NA,NA,2867,NA,NA,NA,NA,102,NA,NA,NA,NA,12009,2783,32,64,25715,17640,407,2858,49168,NA,28,NA,NA,NA,65,NA,197,38,NA
"HMDB00764","hydrocinnamate",38180,11781,62098,3235743,1189143,3653962,15982,7274,4015395,210870,26980,34955,819507,372749,21054,711371,12922,82727,926256,26009,673341,88897,256308,375854,534941,58551,303398,40871,583156,13719,23190,50460,30430,2410,49571,17096,207292,102285,36470,7985130,12612,444487,166095,414167,170335,2848,227341,855986,1811583,1622,28041,925552,1219670,15973,470743,1588639,814325,938219,2906280,619964,200785,15343,1565763,208250,1026008,856105,264597,26166,483450,41530
"HMDB00703","mandelate",5893,6345,5653,10058,8408,17373,6027,9305,12308,7952,10259,3787,10293,6005,6080,6635,9524,15217,13055,4181,9809,12754,33884,6818,3439,76155,25392,2693,5118,16312,4035,16854,4252,19940,11914,4515,4244,9111,5451,5565,1871,9196,14034,5563,6944,5064,14355,118512,8669,2644,8812,34029,10030,14727,3966,5161,4633,17618,16732,4686,8001,11685,5488,5524,13071,17232,5956,8741,3353,7511
"HMDB00711","2-hydroxyoctanoate",NA,NA,NA,NA,NA,782977,420774,946836,1910144,681264,399206,137306,264680,584928,660592,NA,NA,620848,NA,721547,2191935,809079,1449868,NA,385429,963678,906092,1206893,224309,175206,NA,NA,156862,739422,425295,283307,145468,199182,342499,NA,576971,663802,174106,NA,NA,NA,NA,219730,NA,NA,203774,394610,696004,449198,95833,835311,343722,515687,1370291,553808,NA,660999,NA,NA,608081,NA,340925,NA,NA,199401
"HMDB01954","3-hydroxyoctanoate",4174,5257,3628,5165,2902,11456,9123,4135,11524,11379,6591,1498,2535,2909,7392,3014,9529,5883,8668,3772,5018,5238,6529,5122,7723,12477,8820,4653,2111,2556,9884,7498,1569,17899,1633,3809,2568,9182,7790,3231,6645,4386,7648,5531,3593,7775,5961,7084,10387,3121,2816,4424,8053,4801,2349,2274,2107,6314,9422,8637,4754,15170,2616,3397,6072,16656,2945,6648,2695,2506
"HMDB00511","caprate",211440,29713,9523,25482,264302,25448,386216,6992,23010,39988,43779,975644,13368,618985,16782,29155,216837,29424,22122,7456,80034,24282,22550,93550,10240,15989,116517,152127,6694,12359,12840,17519,6193,96822,10799,3243412,31620,7585,10274,10945,46407,107046,714298,44622,18859,109006,34786,46576,50946,19438,10473,664064,7389880,23547,155137,1023156,448047,7914,960491,12306,28158,6396345,295494,16467,65131,22965,37382,39178,26703,8810
"HMDB00197","indoleacetate",15667,2833,18466,9282,17537,54609,6487,52717,100987,20497,10356,4302,7724,10629,5292,7117,7691,24869,28256,7827,10753,49873,9138,13049,43135,3302,13171,1875,30188,12728,7171,8911,17583,4640,17123,14340,19165,62956,10397,3662,19762,13469,3767,33702,12379,327,69025,25720,1377,1881,33203,37211,66537,16289,15187,30919,16002,10993,3780,15317,5499,10062,13297,41199,13519,21249,29330,9034,1127,23206
