pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_CD	probabilities.ileum_Ensembl_BridgeDb_CD	GenesInPWs.ileum_Ensembl_Hs_CD	probabilities.ileum_Ensembl_Hs_CD	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_CD	probabilities.ileum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_BridgeDb_CD	probabilities.ileum_ENTREZ_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_Hs_CD	probabilities.ileum_ENTREZ_Hs_CD	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_CD	probabilities.ileum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.ileum_HGNC_CD	probabilities.ileum_HGNC_CD	GenesInPWs.ileum_HGNC_PriID_BridgeDb_CD	probabilities.ileum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP106_r114258>	WP106	Alanine and aspartate metabolism	40	1	5.96635301543865e-79	1	1.18748080220594e-78	1	6.40401632497158e-80	1	1.53427399274202e-77	1	5.7012152252919e-79	1	1.64417375804362e-78	1	7.91612419219972e-81	1	7.91612419219972e-81
<https://identifiers.org/wikipathways/WP107_r117851>	WP107	Translation factors	50	3	4.44214731869238e-89	3	1.0162215738143e-88	3	3.03483680422717e-90	3	2.20277170513869e-87	3	4.20587905478294e-89	3	1.50278501959046e-88	3	2.45626548688868e-91	3	2.45626548688868e-91
<https://identifiers.org/wikipathways/WP117_r117743>	WP117	GPCRs, other	114	7	5.39200103811663e-165	7	3.43554821670285e-164	12	3.46033532266969e-156	7	3.33799252464857e-161	7	4.77117556346024e-165	12	1.44825497721203e-152	7	4.73302301989026e-170	12	1.59759646153497e-158
<https://identifiers.org/wikipathways/WP12_r116896>	WP12	Osteoclast signaling	16	5	5.05474386030476e-25	5	6.14760497557653e-25	5	2.68005095122612e-25	5	1.27304535565028e-24	5	4.98982662698619e-25	5	6.74371883175417e-25	5	1.47954886070745e-25	5	1.47954886070745e-25
<https://identifiers.org/wikipathways/WP127_r120669>	WP127	IL-5 signaling pathway	40	3	2.98817034519324e-73	3	5.74327464948511e-73	3	3.5920020833161e-74	3	6.51762660664804e-72	3	2.86197203499503e-73	3	7.82191002782899e-73	3	4.93740540053761e-75	3	4.93740540053761e-75
<https://identifiers.org/wikipathways/WP129_r117774>	WP129	Matrix metalloproteinases	31	11	4.75205240151423e-39	11	6.77686518622637e-39	11	1.50366462154776e-39	11	2.53649661188208e-38	11	4.64195934574007e-39	11	8.01514618821102e-39	11	5.11881680867565e-40	11	5.11881680867565e-40
<https://identifiers.org/wikipathways/WP134_r118339>	WP134	Pentose phosphate metabolism	7	1	2.09912618635786e-16	1	2.3360096662475e-16	1	1.4842962971621e-16	1	3.47680363919266e-16	1	2.08435665355559e-16	1	2.45714788578309e-16	1	1.07299031584971e-16	1	1.07299031584971e-16
<https://identifiers.org/wikipathways/WP138_r122133>	WP138	Androgen receptor signaling pathway	88	7	1.46398422735961e-132	7	6.01001903533167e-132	7	1.49927337230321e-134	7	1.14263774424194e-129	7	1.3335979018791e-132	7	1.17166345021209e-131	7	2.04614555394374e-136	7	2.04614555394374e-136
<https://identifiers.org/wikipathways/WP1403_r121114>	WP1403	AMP-activated protein kinase (AMPK) signaling	68	10	1.28651932282357e-98	10	3.56051646864479e-98	10	4.73813637020072e-100	10	1.56566555905224e-96	10	1.20286612326092e-98	10	5.76117196675027e-98	10	2.14843695403712e-101	10	2.14843695403712e-101
<https://identifiers.org/wikipathways/WP1422_r118359>	WP1422	Sphingolipid pathway	36	2	2.11986276115425e-69	2	3.86619461528409e-69	2	3.02081545229101e-70	2	3.61048539169628e-68	2	2.03738106251225e-69	2	5.13652311678547e-69	2	4.8700270483056e-71	2	4.8700270483056e-71
<https://identifiers.org/wikipathways/WP1423_r117518>	WP1423	Ganglio sphingolipid metabolism	18	3	3.63070543215484e-34	3	4.73993491799039e-34	3	1.52989087595523e-34	3	1.27743319437309e-33	3	3.56734354696044e-34	3	5.37670328987387e-34	3	6.81086670754278e-35	3	6.81086670754278e-35
<https://identifiers.org/wikipathways/WP1425_r116437>	WP1425	Bone morphogenic protein (BMP) signaling and regulation	12	1	1.38866589568813e-27	1	1.68890246581776e-27	1	7.36277733853336e-28	1	3.4973773506876e-27	1	1.3708314909303e-27	1	1.85267000872368e-27	1	4.06469467227321e-28	1	4.06469467227321e-28
<https://identifiers.org/wikipathways/WP143_r116506>	WP143	Fatty acid beta-oxidation	34	4	1.2486128928552e-60	4	2.12310110065586e-60	4	2.23332504871665e-61	4	1.52808694553388e-59	4	1.20559760436325e-60	4	2.72878648610951e-60	4	4.45510416772833e-62	4	4.45510416772833e-62
<https://identifiers.org/wikipathways/WP1433_r122867>	WP1433	Nucleotide-binding oligomerization domain (NOD) pathway	41	12	1.22280023338848e-53	12	2.04304991142171e-53	12	2.31521489938714e-54	12	1.37764449824625e-52	12	1.18204310051496e-53	12	2.60420919252464e-53	12	4.871388250641e-55	12	4.871388250641e-55
<https://identifiers.org/wikipathways/WP1434_r117813>	WP1434	Osteopontin signaling	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP1455_r117827>	WP1455	Serotonin transporter activity	11	3	9.5595681568104e-20	3	1.10234199495745e-19	3	6.02368530969556e-20	3	1.87261283248844e-19	3	9.47004385986179e-20	3	1.17916427965518e-19	3	3.90898497540816e-20	3	3.90898497540816e-20
<https://identifiers.org/wikipathways/WP1471_r120934>	WP1471	Target of rapamycin (TOR) signaling	36	2	2.11986276115425e-69	2	3.86619461528409e-69	2	3.02081545229101e-70	2	3.61048539169628e-68	2	2.03738106251225e-69	2	5.13652311678547e-69	2	4.8700270483056e-71	2	4.8700270483056e-71
<https://identifiers.org/wikipathways/WP15_r121694>	WP15	Selenium micronutrient network	89	14	2.34387548909013e-118	14	8.68597347346435e-118	15	4.17433341483528e-118	14	1.12931577783554e-115	14	2.14961136202921e-118	15	1.85646486131651e-115	14	6.2386492454182e-122	15	8.19758510847956e-120
<https://identifiers.org/wikipathways/WP1528_r121714>	WP1528	Physiological and pathological hypertrophy of the heart	24	3	1.39012004762813e-45	3	2.01771417464122e-45	3	4.15417151480801e-46	3	8.06381444219644e-45	3	1.35633366754257e-45	3	2.40637631202491e-45	3	1.34040439621149e-46	3	1.34040439621149e-46
<https://identifiers.org/wikipathways/WP1530_r118120>	WP1530	miRNA regulation of DNA damage response	96	9	3.42361187087979e-138	9	1.55642532236177e-137	9	2.51754218011802e-140	9	4.32128176323895e-135	9	3.09774753870047e-138	9	3.18413385103174e-137	9	2.51781196176905e-142	9	2.51781196176905e-142
<https://identifiers.org/wikipathways/WP1531_r118354>	WP1531	Vitamin D metabolism	11	1	1.97422001503664e-25	1	2.35883377725878e-25	1	1.10871155422748e-25	1	4.57282088602404e-25	1	1.95115015542411e-25	1	2.56594796208229e-25	1	6.45947728335421e-26	1	6.45947728335421e-26
<https://identifiers.org/wikipathways/WP1533_r121695>	WP1533	Vitamin B12 metabolism	57	11	1.54990600772235e-80	11	3.48462802035051e-80	11	1.12027573963458e-81	11	7.08123128971409e-79	11	1.46915465032113e-80	11	5.1109166302887e-80	11	9.55899776923682e-83	11	9.55899776923682e-83
