pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_UC	probabilities.ileum_Ensembl_BridgeDb_UC	GenesInPWs.ileum_Ensembl_Hs_UC	probabilities.ileum_Ensembl_Hs_UC	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_UC	probabilities.ileum_Ensembl_PriID_BridgeDb_UC	GenesInPWs.ileum_ENTREZ_BridgeDb_UC	probabilities.ileum_ENTREZ_BridgeDb_UC	GenesInPWs.ileum_ENTREZ_Hs_UC	probabilities.ileum_ENTREZ_Hs_UC	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_UC	probabilities.ileum_ENTREZ_PriID_BridgeDb_UC	GenesInPWs.ileum_HGNC_PriID_BridgeDb_UC	probabilities.ileum_HGNC_PriID_BridgeDb_UC	GenesInPWs.ileum_HGNC_UC	probabilities.ileum_HGNC_UC
<https://identifiers.org/wikipathways/WP129_r117774>	WP129	Matrix metalloproteinases	31	1	1.54267918465738e-28	1	2.62551213121653e-28	1	2.01190934876462e-29	1	2.62551213121653e-28	1	1.54267918465738e-28	1	7.06982373366981e-29	1	7.71490580776901e-31	1	7.71490580776901e-31
<https://identifiers.org/wikipathways/WP1423_r117518>	WP1423	Ganglio sphingolipid metabolism	18	2	1.0213507162909e-17	2	1.38011831483958e-17	2	3.23252260984228e-18	2	1.38011831483958e-17	2	1.0213507162909e-17	2	6.57007890074583e-18	2	5.16894815014167e-19	2	5.16894815014167e-19
<https://identifiers.org/wikipathways/WP1772_r120736>	WP1772	Apoptosis modulation and signaling	97	2	3.37701177276451e-54	2	1.3032578313322e-53	2	1.84226044768296e-56	2	1.3032578313322e-53	2	3.37701177276451e-54	2	4.62058763225201e-55	2	3.88512581344378e-60	2	3.88512581344378e-60
<https://identifiers.org/wikipathways/WP183_r117060>	WP183	Proteasome degradation	65	1	3.84015870407427e-45	1	1.04517863058942e-44	1	8.15129958447535e-47	1	1.04517863058942e-44	1	3.84015870407427e-45	1	8.80713874775652e-46	1	1.61937504621714e-49	1	1.61937504621714e-49
<https://identifiers.org/wikipathways/WP185_r116785>	WP185	Integrin-mediated cell adhesion	101	1	2.23084830013153e-57	1	9.05997574951357e-57	1	9.97346425868428e-60	1	9.05997574951357e-57	1	2.23084830013153e-57	1	2.83018067927133e-58	1	1.51161930684578e-63	1	1.51161930684578e-63
<https://identifiers.org/wikipathways/WP2289_r120498>	WP2289	Drug induction of bile acid pathway	17	1	1.1348341292121e-18	1	1.53346479426621e-18	1	3.59169178871365e-19	1	1.53346479426621e-18	1	1.1348341292121e-18	1	7.30008766749536e-19	1	5.74327572237959e-20	1	5.74327572237959e-20
<https://identifiers.org/wikipathways/WP23_r120701>	WP23	B cell receptor signaling pathway	97	1	3.46360181822001e-56	1	1.35052625008517e-55	1	1.81503492382558e-58	1	1.35052625008517e-55	1	3.46360181822001e-56	1	4.66726023459806e-57	1	3.58076111838141e-62	1	3.58076111838141e-62
<https://identifiers.org/wikipathways/WP2328_r120805>	WP2328	Allograft rejection	102	1	1.13773263306705e-57	1	4.66726023459787e-57	1	4.89083343454724e-60	1	4.66726023459787e-57	1	1.13773263306705e-57	1	1.42206122800825e-58	1	6.94527789631841e-64	1	6.94527789631841e-64
<https://identifiers.org/wikipathways/WP2374_r120781>	WP2374	Oncostatin M signaling pathway	65	1	3.84015870407427e-45	1	1.04517863058942e-44	1	8.15129958447535e-47	1	1.04517863058942e-44	1	3.84015870407427e-45	1	8.80713874775652e-46	1	1.61937504621714e-49	1	1.61937504621714e-49
<https://identifiers.org/wikipathways/WP24_r113974>	WP24	Peptide GPCRs	75	1	6.2699304520456e-49	1	1.92298547238785e-48	1	8.36828438502243e-51	1	1.92298547238785e-48	1	6.2699304520456e-49	1	1.20526988201552e-49	1	7.74770116743256e-54	1	7.74770116743256e-54
<https://identifiers.org/wikipathways/WP2572_r119251>	WP2572	Primary focal segmental glomerulosclerosis (FSGS)	73	1	3.36158649605539e-48	1	1.00722860688859e-47	1	4.91240910385647e-50	1	1.00722860688859e-47	1	3.36158649605539e-48	1	6.68870493082482e-49	1	5.28100063358505e-53	1	5.28100063358505e-53
<https://identifiers.org/wikipathways/WP2840_r120866>	WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	88	3	1.29468876069683e-49	3	4.49337867967267e-49	3	1.06807635290723e-51	3	4.49337867967267e-49	3	1.29468876069683e-49	3	2.07281548435254e-50	3	4.46835724240671e-55	3	4.46835724240671e-55
<https://identifiers.org/wikipathways/WP2858_r116763>	WP2858	Ectoderm differentiation	142	1	6.18375671252711e-68	1	3.6559501652294e-67	1	6.36568453341137e-71	1	3.6559501652294e-67	1	6.18375671252711e-68	1	4.49505756902992e-69	1	8.32978672659162e-76	1	8.32978672659162e-76
<https://identifiers.org/wikipathways/WP2864_r108133>	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	53	1	4.62442306152643e-40	1	1.079604023331e-39	1	1.77935543850024e-41	1	1.079604023331e-39	1	4.62442306152643e-40	1	1.33021966625132e-40	1	9.37024236185995e-44	1	9.37024236185995e-44
<https://identifiers.org/wikipathways/WP2877_r119905>	WP2877	Vitamin D receptor pathway	186	2	9.51293920535166e-75	2	7.82508375821764e-74	2	2.6791271503356e-78	2	7.82508375821764e-74	2	9.51293920535166e-75	2	4.23357281373638e-76	2	3.97037622042397e-84	2	3.97037622042397e-84
<https://identifiers.org/wikipathways/WP2878_r116507>	WP2878	PPAR-alpha pathway	26	1	2.49894579975201e-25	1	3.92846024920821e-25	1	4.4233912048025e-26	1	3.92846024920821e-25	1	2.49894579975201e-25	1	1.28704610068968e-25	1	2.77818659214992e-27	1	2.77818659214992e-27
<https://identifiers.org/wikipathways/WP2879_r116462>	WP2879	Farnesoid X receptor pathway	19	1	2.85966159881034e-20	1	4.00034294156402e-20	1	7.9248941402585e-21	1	4.00034294156402e-20	1	2.85966159881034e-20	1	1.74834032372787e-20	1	1.02398097020843e-21	1	1.02398097020843e-21
<https://identifiers.org/wikipathways/WP2880_r117734>	WP2880	Glucocorticoid receptor pathway	71	1	1.8592336270991e-47	1	5.4408741641515e-47	2	2.63545421037591e-47	1	5.4408741641515e-47	1	1.8592336270991e-47	2	3.29443151468429e-46	2	3.55568084668206e-50	1	3.72322601746813e-52
