pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_CD	probabilities.rectum_Ensembl_BridgeDb_CD	GenesInPWs.rectum_Ensembl_Hs_CD	probabilities.rectum_Ensembl_Hs_CD	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_CD	probabilities.rectum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_BridgeDb_CD	probabilities.rectum_ENTREZ_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_Hs_CD	probabilities.rectum_ENTREZ_Hs_CD	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_CD	probabilities.rectum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.rectum_HGNC_CD	probabilities.rectum_HGNC_CD	GenesInPWs.rectum_HGNC_PriID_BridgeDb_CD	probabilities.rectum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP100_r107114>	WP100	Glutathione metabolism	37	3	3.28011902889582e-63	3	6.4731609531969e-63	3	6.18101124029635e-64	3	3.44259329976608e-62	3	3.28011902889582e-63	3	6.29066719498081e-63	3	7.22268525218576e-65	3	7.22268525218576e-65
<https://identifiers.org/wikipathways/WP106_r114258>	WP106	Alanine and aspartate metabolism	40	2	2.53619186135765e-70	2	5.41499478113622e-70	2	3.93883171291269e-71	2	3.49437489934737e-69	2	2.53619186135765e-70	2	5.24493709379484e-70	2	3.58828008174474e-72	2	3.58828008174474e-72
<https://identifiers.org/wikipathways/WP107_r117851>	WP107	Translation factors	50	1	1.79008269548222e-87	1	4.73952660826039e-87	1	1.63856805765084e-88	1	5.18863303736319e-86	1	1.79008269548222e-87	1	4.54932447574204e-87	1	7.55639481747852e-90	1	7.55639481747852e-90
<https://identifiers.org/wikipathways/WP117_r117743>	WP117	GPCRs, other	114	8	3.94973773619078e-147	8	3.09506937579375e-146	11	6.38631774725547e-143	8	4.85860029549039e-144	8	3.94973773619078e-147	11	5.9704130362267e-140	8	3.70466052246899e-152	11	1.12671634423637e-145
<https://identifiers.org/wikipathways/WP12_r116896>	WP12	Osteoclast signaling	16	4	9.63262294215634e-26	4	1.22715595305679e-25	4	5.31681063260993e-26	4	2.22582365842296e-25	4	9.63262294215634e-26	4	1.21471856164065e-25	4	2.47640161913702e-26	4	2.47640161913702e-26
<https://identifiers.org/wikipathways/WP127_r120669>	WP127	IL-5 signaling pathway	40	5	7.90428683060742e-63	5	1.59091617456679e-62	5	1.41909506709825e-63	5	8.88063232420076e-62	5	7.90428683060742e-63	5	1.5447835597285e-62	5	1.55808144741473e-64	5	1.55808144741473e-64
<https://identifiers.org/wikipathways/WP129_r117774>	WP129	Matrix metalloproteinases	31	12	4.96610796719448e-34	12	7.27822527604016e-34	12	1.94321844311266e-34	12	1.86304293718728e-33	12	4.96610796719448e-34	12	7.16211588876492e-34	12	5.81467943586772e-35	12	5.81467943586772e-35
<https://identifiers.org/wikipathways/WP134_r118339>	WP134	Pentose phosphate metabolism	7	2	1.02121683002659e-12	2	1.12995625797539e-12	2	7.96660455362328e-13	2	1.44922699662088e-12	2	1.02121683002659e-12	2	1.12515610394831e-12	2	5.78947479253297e-13	2	5.78947479253297e-13
<https://identifiers.org/wikipathways/WP138_r122133>	WP138	Androgen receptor signaling pathway	88	5	3.38220671963448e-125	5	1.72071567970584e-124	5	6.21533886893278e-127	5	9.36195082260607e-123	5	3.38220671963448e-125	5	1.60691535985269e-124	5	3.61803397646885e-129	5	3.61803397646885e-129
<https://identifiers.org/wikipathways/WP1403_r121114>	WP1403	AMP-activated protein kinase (AMPK) signaling	68	2	1.57802672954986e-108	2	5.8044977891467e-108	2	6.43795038838199e-110	2	1.42462675315999e-106	2	1.57802672954986e-108	2	5.49504960329548e-108	2	1.04803110211091e-111	2	1.04803110211091e-111
<https://identifiers.org/wikipathways/WP1422_r118359>	WP1422	Sphingolipid pathway	36	1	4.32448125101619e-67	1	8.70399482748012e-67	1	7.76395156526037e-68	1	4.85864554338592e-66	1	4.32448125101619e-67	1	8.45160061127313e-67	1	8.52435412744685e-69	1	8.52435412744685e-69
<https://identifiers.org/wikipathways/WP1423_r117518>	WP1423	Ganglio sphingolipid metabolism	18	1	2.72741899262395e-37	1	3.84070123759073e-37	1	1.17721951280935e-37	1	8.91159449230089e-37	1	2.72741899262395e-37	1	3.78578793141823e-37	1	3.99633245654225e-38	1	3.99633245654225e-38
<https://identifiers.org/wikipathways/WP143_r116506>	WP143	Fatty acid beta-oxidation	34	2	3.18558236797802e-61	2	6.04336639261088e-61	2	6.61380135165845e-62	2	2.91702405600181e-60	2	3.18558236797802e-61	2	5.88274535892017e-61	2	8.75532604885219e-63	2	8.75532604885219e-63
<https://identifiers.org/wikipathways/WP1433_r122867>	WP1433	Nucleotide-binding oligomerization domain (NOD) pathway	41	11	2.72058607164649e-51	11	4.96121009394601e-51	11	6.22420882479349e-52	11	2.17304496783079e-50	11	2.72058607164649e-51	11	4.83738621472934e-51	11	9.33617415442872e-53	11	9.33617415442872e-53
<https://identifiers.org/wikipathways/WP1434_r117813>	WP1434	Osteopontin signaling	13	3	1.66924411009121e-22	3	2.04278515725596e-22	3	1.01687547889088e-22	3	3.35662157060388e-22	3	1.66924411009121e-22	3	2.02550271091708e-22	3	5.37688701555125e-23	3	5.37688701555125e-23
<https://identifiers.org/wikipathways/WP1455_r117827>	WP1455	Serotonin transporter activity	11	2	3.86815221665368e-21	2	4.63947936676791e-21	2	2.47570068514584e-21	2	7.25546662568996e-21	2	3.86815221665368e-21	2	4.60412346981535e-21	2	1.39488857384204e-21	2	1.39488857384204e-21
<https://identifiers.org/wikipathways/WP1471_r120934>	WP1471	Target of rapamycin (TOR) signaling	36	1	4.32448125101619e-67	1	8.70399482748012e-67	1	7.76395156526037e-68	1	4.85864554338592e-66	1	4.32448125101619e-67	1	8.45160061127313e-67	1	8.52435412744685e-69	1	8.52435412744685e-69
