pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_UC	probabilities.rectum_Ensembl_BridgeDb_UC	GenesInPWs.rectum_Ensembl_Hs_UC	probabilities.rectum_Ensembl_Hs_UC	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_UC	probabilities.rectum_Ensembl_PriID_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_BridgeDb_UC	probabilities.rectum_ENTREZ_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_Hs_UC	probabilities.rectum_ENTREZ_Hs_UC	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_UC	probabilities.rectum_ENTREZ_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_PriID_BridgeDb_UC	probabilities.rectum_HGNC_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_UC	probabilities.rectum_HGNC_UC
<https://identifiers.org/wikipathways/WP100_r107114>	WP100	Glutathione metabolism	37	5	2.74357362893039e-80	5	4.56942111088807e-80	5	3.99410987383192e-81	5	1.24165681738008e-79	5	2.65548575123283e-80	5	1.85862346295606e-80	5	2.32951371004393e-82	5	2.32951371004393e-82
<https://identifiers.org/wikipathways/WP106_r114258>	WP106	Alanine and aspartate metabolism	40	3	4.55368402357911e-93	3	8.21134465925397e-93	4	7.69183408183581e-91	3	2.60717025569596e-92	3	4.38513248148084e-93	4	4.33537665159409e-90	4	3.14796870974093e-92	3	1.83930394960025e-95
<https://identifiers.org/wikipathways/WP107_r117851>	WP107	Translation factors	50	15	2.7115771269937e-80	15	4.73668123226912e-80	15	3.29679860591448e-81	15	1.41315721393626e-79	15	2.61652311440253e-80	15	1.7712834642901e-80	15	1.47416227911142e-82	15	1.47416227911142e-82
<https://identifiers.org/wikipathways/WP111_r117097>	WP111	Electron transport chain: OXPHOS system in mitochondria	104	25	7.97708914374426e-158	25	2.7963729930388e-157	33	3.11084738857607e-141	25	3.26580967062504e-156	25	7.36197761694248e-158	33	9.32794351094378e-140	33	5.79072785856404e-144	25	6.42383121881756e-163
<https://identifiers.org/wikipathways/WP117_r117743>	WP117	GPCRs, other	114	22	2.3208670910205e-182	22	9.98489729601402e-182	27	9.73670284147356e-173	22	1.74173896036609e-180	22	2.11402399311006e-182	27	6.24869493194892e-171	27	4.43699746078371e-176	22	2.75026599796589e-188
<https://identifiers.org/wikipathways/WP12_r116896>	WP12	Osteoclast signaling	16	7	5.02472675720555e-25	7	5.80155998276729e-25	7	2.91936375048472e-25	7	7.68941721995219e-25	7	4.97873024641623e-25	7	4.50249723800548e-25	7	1.31090184546314e-25	7	1.31090184546314e-25
<https://identifiers.org/wikipathways/WP127_r120669>	WP127	IL-5 signaling pathway	40	17	4.69571590562352e-54	17	6.77734667074928e-54	17	1.17418356033852e-54	17	1.39105518230053e-53	17	4.58677504176628e-54	17	3.54854803062228e-54	17	1.52081412325075e-55	17	1.52081412325075e-55
<https://identifiers.org/wikipathways/WP129_r117774>	WP129	Matrix metalloproteinases	31	16	1.15508311322459e-36	16	1.46761985495712e-36	16	4.67484888932938e-37	16	2.34649980832518e-36	16	1.13752305791728e-36	16	9.62103699458382e-37	16	1.23169753809056e-37	16	1.23169753809056e-37
<https://identifiers.org/wikipathways/WP134_r118339>	WP134	Pentose phosphate metabolism	7	4	1.04038272276242e-09	4	1.09147711746456e-09	4	8.68052619849782e-10	4	1.19899959392901e-09	4	1.0371967961983e-09	4	1.00299490585005e-09	4	6.6464028831477e-10	4	6.6464028831477e-10
<https://identifiers.org/wikipathways/WP136_r118346>	WP136	Phase I biotransformations, non P450	8	3	9.66693715085535e-16	3	1.04709344410267e-15	3	7.14878285688919e-16	3	1.2245620981219e-15	3	9.61765804688458e-16	3	9.09500010121972e-16	3	4.5813779726248e-16	3	4.5813779726248e-16
