pathwayRes	pathway	pathwayTitle	TotalMetabolitesinPW	BiomarkersInPWs	probabilities_metabolomics	TotalGenesinPW	GenesInPWs	probabilities_transcriptome
<https://identifiers.org/wikipathways/WP5087_r122659>	WP5087	Malignant pleural mesothelioma	13	1	2.37840377444362e-14	438	80	0
<https://identifiers.org/wikipathways/WP2431_r120812>	WP2431	Spinal cord injury	9	1	1.05898677540015e-10	117	29	2.19549803223356e-126
<https://identifiers.org/wikipathways/WP706_r117178>	WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	14	3	5.27212836668335e-12	166	24	4.54538294603513e-191
<https://identifiers.org/wikipathways/WP15_r121694>	WP15	Selenium micronutrient network	110	6	6.0697842590103e-46	89	15	4.17433341483528e-118
<https://identifiers.org/wikipathways/WP4341_r122900>	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	5	1	2.24628744841963e-06	93	14	1.90346459475205e-125
<https://identifiers.org/wikipathways/WP2848_r120814>	WP2848	Pluripotent stem cell differentiation pathway	13	1	2.37840377444362e-14	50	13	1.29014141912735e-66
<https://identifiers.org/wikipathways/WP1533_r121695>	WP1533	Vitamin B12 metabolism	63	1	9.71980678641195e-41	57	11	1.12027573963458e-81
<https://identifiers.org/wikipathways/WP3925_r117062>	WP3925	Amino acid metabolism	108	7	4.65352778242892e-44	94	9	9.78254504731932e-138
<https://identifiers.org/wikipathways/WP98_r117172>	WP98	Prostaglandin synthesis and regulation	13	1	2.37840377444362e-14	46	9	4.00543254310057e-69
<https://identifiers.org/wikipathways/WP5122_r119484>	WP5122	Prostaglandin and leukotriene metabolism in senescence 	22	2	2.23912767601875e-19	32	8	4.35595376457577e-48
<https://identifiers.org/wikipathways/WP2197_r117710>	WP2197	Endothelin pathways	14	1	3.46850550439694e-15	33	8	7.89382066068095e-50
<https://identifiers.org/wikipathways/WP231_r120699>	WP231	TNF-alpha signaling pathway	3	1	0.000840336134453783	93	8	9.3662665346684e-139
<https://identifiers.org/wikipathways/WP465_r122957>	WP465	Tryptophan metabolism	63	1	9.71980678641195e-41	56	7	2.48251930607083e-89
<https://identifiers.org/wikipathways/WP4313_r120500>	WP4313	Ferroptosis	38	3	7.34189663339055e-27	65	6	4.28120996589089e-105
<https://identifiers.org/wikipathways/WP1982_r116442>	WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	5	1	2.24628744841963e-06	69	6	7.46153695633038e-111
<https://identifiers.org/wikipathways/WP4216_r119088>	WP4216	Chromosomal and microsatellite instability in colorectal cancer 	3	1	0.000840336134453783	73	6	1.62326038776782e-116
<https://identifiers.org/wikipathways/WP4545_r121824>	WP4545	Oxysterols derived from cholesterol	51	1	4.11490402918316e-36	52	6	1.23609813487215e-85
<https://identifiers.org/wikipathways/WP4719_r116307>	WP4719	Eicosanoid metabolism via cyclooxygenases (COX)	37	1	9.74157005757257e-30	30	6	2.45900615742177e-49
<https://identifiers.org/wikipathways/WP727_r116775>	WP727	Monoamine transport	14	1	3.46850550439694e-15	32	6	7.35212648435166e-53
<https://identifiers.org/wikipathways/WP4022_r120306>	WP4022	Pyrimidine metabolism	40	2	1.98856843324002e-29	99	5	8.40988299191913e-154
