pathwayRes	pathway	pathwayTitle	TotalMetabolitesinPW	BiomarkersInPWs	probabilities_metabolomics	TotalGenesinPW	GenesInPWs	probabilities_transcriptome
<https://identifiers.org/wikipathways/WP5087_r122659>	WP5087	Malignant pleural mesothelioma	13	1	2.37840377444362e-14	438	46	0
<https://identifiers.org/wikipathways/WP2431_r120812>	WP2431	Spinal cord injury	9	1	1.05898677540015e-10	117	20	1.01891988685662e-128
<https://identifiers.org/wikipathways/WP4341_r122900>	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	5	1	2.24628744841963e-06	93	17	9.93491207012078e-108
<https://identifiers.org/wikipathways/WP15_r121694>	WP15	Selenium micronutrient network	110	6	6.0697842590103e-46	89	16	5.68319022381654e-105
<https://identifiers.org/wikipathways/WP706_r117178>	WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	14	3	5.27212836668335e-12	166	16	1.04017101466848e-184
<https://identifiers.org/wikipathways/WP1533_r121695>	WP1533	Vitamin B12 metabolism	63	1	9.71980678641195e-41	57	15	1.05902667073942e-66
<https://identifiers.org/wikipathways/WP1982_r116442>	WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	5	1	2.24628744841963e-06	69	12	2.22597837037122e-88
<https://identifiers.org/wikipathways/WP231_r120699>	WP231	TNF-alpha signaling pathway	3	1	0.000840336134453783	93	11	1.56032691978463e-119
<https://identifiers.org/wikipathways/WP430_r122069>	WP430	Statin inhibition of cholesterol production	17	1	1.50372890040097e-17	31	10	1.57417852438043e-38
<https://identifiers.org/wikipathways/WP2848_r120814>	WP2848	Pluripotent stem cell differentiation pathway	13	1	2.37840377444362e-14	50	9	3.71748690165515e-69
<https://identifiers.org/wikipathways/WP4290_r118611>	WP4290	Metabolic reprogramming in colon cancer	37	1	9.74157005757257e-30	42	8	9.38926512457242e-60
<https://identifiers.org/wikipathways/WP4545_r121824>	WP4545	Oxysterols derived from cholesterol	51	1	4.11490402918316e-36	52	8	4.04797927494244e-74
<https://identifiers.org/wikipathways/WP3925_r117062>	WP3925	Amino acid metabolism	108	7	4.65352778242892e-44	94	7	2.67871157765457e-129
<https://identifiers.org/wikipathways/WP465_r122957>	WP465	Tryptophan metabolism	63	1	9.71980678641195e-41	56	7	7.60024887306863e-82
<https://identifiers.org/wikipathways/WP4969_r120081>	WP4969	RAS and bradykinin pathways in COVID-19	17	1	1.50372890040097e-17	31	7	5.4172030180805e-45
<https://identifiers.org/wikipathways/WP4313_r120500>	WP4313	Ferroptosis	38	3	7.34189663339055e-27	65	6	4.13073703029058e-96
<https://identifiers.org/wikipathways/WP98_r117172>	WP98	Prostaglandin synthesis and regulation	13	1	2.37840377444362e-14	46	6	4.39657797396357e-70
<https://identifiers.org/wikipathways/WP497_r119105>	WP497	Urea cycle and metabolism of amino groups	31	3	3.06714692814059e-23	37	5	5.13892365023855e-59
<https://identifiers.org/wikipathways/WP3869_r118463>	WP3869	Cannabinoid receptor signaling	22	1	4.30601476157456e-21	31	5	1.38543848445835e-49
<https://identifiers.org/wikipathways/WP4210_r95880>	WP4210	Tryptophan catabolism leading to NAD+ production	23	1	9.43222281106804e-22	16	5	1.34834317642989e-23
<https://identifiers.org/wikipathways/WP4595_r121755>	WP4595	Urea cycle and associated pathways	30	1	5.30036911545038e-26	24	5	5.852767108545e-38
<https://identifiers.org/wikipathways/WP727_r116775>	WP727	Monoamine transport	14	1	3.46850550439694e-15	32	5	3.45549738914007e-51
<https://identifiers.org/wikipathways/WP4723_r120315>	WP4723	Omega-3 / omega-6 fatty acid synthesis	38	6	9.79834840899037e-23	14	4	3.55906417611807e-22
<https://identifiers.org/wikipathways/WP3580_r120915>	WP3580	Methionine de novo and salvage pathway	50	3	3.09268118394128e-32	22	4	6.75930984003172e-37
<https://identifiers.org/wikipathways/WP2289_r120498>	WP2289	Drug induction of bile acid pathway	27	2	1.62165706943947e-22	17	4	7.12259895621513e-28
<https://identifiers.org/wikipathways/WP5122_r119484>	WP5122	Prostaglandin and leukotriene metabolism in senescence 	22	2	2.23912767601875e-19	32	4	1.3455986717835e-53
<https://identifiers.org/wikipathways/WP167_r120547>	WP167	Eicosanoid synthesis	27	1	2.97551755860453e-24	28	4	4.21806686613612e-47
<https://identifiers.org/wikipathways/WP2533_r120261>	WP2533	Glycerophospholipid biosynthetic pathway	58	1	6.88916021404948e-39	44	4	6.3718521361791e-72
<https://identifiers.org/wikipathways/WP4225_r120401>	WP4225	Pyrimidine metabolism and related diseases	37	1	9.74157005757257e-30	24	4	2.29340403939849e-40
<https://identifiers.org/wikipathways/WP4719_r116307>	WP4719	Eicosanoid metabolism via cyclooxygenases (COX)	37	1	9.74157005757257e-30	30	4	2.23457820073927e-50
<https://identifiers.org/wikipathways/WP4721_r116526>	WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	40	1	3.25994825121314e-31	29	4	9.54909751115912e-49
<https://identifiers.org/wikipathways/WP5046_r118987>	WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	12	1	1.73806429670879e-13	28	4	4.21806686613612e-47
<https://identifiers.org/wikipathways/WP1600_r119518>	WP1600	Nicotine metabolism in liver cells	11	NA	NA	6	4	1.89716601340917e-05
<https://identifiers.org/wikipathways/WP3940_r119248>	WP3940	One-carbon metabolism and related pathways	41	6	3.91323090559714e-24	52	3	7.24247081481683e-86
<https://identifiers.org/wikipathways/WP5176_r122283>	WP5176	Disorders of bile acid synthesis and biliary transport	44	4	3.59789621992224e-28	20	3	7.45572358112573e-36
<https://identifiers.org/wikipathways/WP3953_r106206>	WP3953	mRNA, protein, and metabolite inducation pathway by cyclosporin A	14	2	1.66488264211052e-13	8	3	2.12442788096621e-12
<https://identifiers.org/wikipathways/WP4022_r120306>	WP4022	Pyrimidine metabolism	40	2	1.98856843324002e-29	99	3	1.31410849879131e-144
<https://identifiers.org/wikipathways/WP4583_r106803>	WP4583	Biomarkers for urea cycle disorders	22	2	2.23912767601875e-19	12	3	9.9028027405835e-21
<https://identifiers.org/wikipathways/WP4853_r122756>	WP4853	Linoleic acid metabolism affected by SARS-CoV-2	14	2	1.66488264211052e-13	13	3	1.01687547889088e-22
<https://identifiers.org/wikipathways/WP2197_r117710>	WP2197	Endothelin pathways	14	1	3.46850550439694e-15	33	3	1.07484387190047e-57
<https://identifiers.org/wikipathways/WP2267_r117179>	WP2267	Synaptic vesicle pathway	7	1	1.20459745701767e-08	51	3	1.81758161794917e-84
<https://identifiers.org/wikipathways/WP2526_r121697>	WP2526	PDGF pathway	10	1	1.15107258195668e-11	41	3	5.38307000764725e-70
<https://identifiers.org/wikipathways/WP3645_r118940>	WP3645	NAD+ biosynthetic pathways	14	1	3.46850550439694e-15	22	3	2.12056779295109e-39
<https://identifiers.org/wikipathways/WP4216_r119088>	WP4216	Chromosomal and microsatellite instability in colorectal cancer 	3	1	0.000840336134453783	73	3	1.25683994577996e-113
<https://identifiers.org/wikipathways/WP4224_r120400>	WP4224	Purine metabolism and related disorders	61	1	5.19584141577775e-40	24	3	7.18372447736427e-43
<https://identifiers.org/wikipathways/WP4483_r107927>	WP4483	Relationship between inflammation, COX-2 and EGFR	2	1	0.0238095238095238	26	3	2.85668020563716e-46
<https://identifiers.org/wikipathways/WP4571_r120383>	WP4571	Urea cycle and related diseases	14	1	3.46850550439694e-15	9	3	1.5150436552057e-14
<https://identifiers.org/wikipathways/WP2525_r116582>	WP2525	Trans-sulfuration and one-carbon metabolism	34	5	4.91619836196255e-22	31	2	3.92684437290914e-57
<https://identifiers.org/wikipathways/WP106_r114258>	WP106	Alanine and aspartate metabolism	22	2	2.23912767601875e-19	40	2	3.93883171291269e-71
<https://identifiers.org/wikipathways/WP241_r120901>	WP241	One-carbon metabolism	25	2	2.66949702200039e-21	29	2	6.96672860713736e-54
<https://identifiers.org/wikipathways/WP2485_r117161>	WP2485	NAD biosynthesis II (from tryptophan)	25	2	2.66949702200039e-21	8	2	5.05014551735233e-15
<https://identifiers.org/wikipathways/WP4586_r119267>	WP4586	Metabolism of alpha-linolenic acid	20	2	5.09183449442701e-18	6	2	1.43512690601699e-10
<https://identifiers.org/wikipathways/WP5190_r122630>	WP5190	Creatine pathway	18	2	1.35335601036087e-16	5	2	3.01376650263572e-08
<https://identifiers.org/wikipathways/WP1455_r117827>	WP1455	Serotonin transporter activity	3	1	0.000840336134453783	11	2	2.47570068514584e-21
<https://identifiers.org/wikipathways/WP1601_r120496>	WP1601	Fluoropyrimidine activity	20	1	9.98398920475894e-20	34	2	6.61380135165845e-62
<https://identifiers.org/wikipathways/WP2435_r120750>	WP2435	Quercetin and Nf-kB / AP-1 induced apoptosis	9	1	1.05898677540015e-10	17	2	5.29505488731549e-33
<https://identifiers.org/wikipathways/WP2513_r119820>	WP2513	Nanoparticle triggered regulated necrosis	8	1	1.07075329512682e-09	14	2	2.65840531630502e-27
<https://identifiers.org/wikipathways/WP3644_r118983>	WP3644	NAD+ metabolism	15	1	5.36366830576845e-16	16	2	3.95883221281062e-31
<https://identifiers.org/wikipathways/WP4584_r119306>	WP4584	Biomarkers for pyrimidine metabolism disorders	35	1	1.02696041102429e-28	19	2	1.11835853716887e-36
