pathwayRes	pathway	pathwayTitle	TotalMetabolitesinPW	BiomarkersInPWs	probabilities_metabolomics	TotalGenesinPW	GenesInPWs	probabilities_transcriptome
<https://identifiers.org/wikipathways/WP5087_r122659>	WP5087	Malignant pleural mesothelioma	13	1	9.01570123458187e-22	438	171	0
<https://identifiers.org/wikipathways/WP706_r117178>	WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	14	7	1.8571111931592e-11	166	68	2.34701933697598e-171
<https://identifiers.org/wikipathways/WP5083_r120385>	WP5083	Neuroinflammation and glutamatergic signaling	27	3	2.59763104608839e-35	140	56	1.98753172667542e-153
<https://identifiers.org/wikipathways/WP455_r117740>	WP455	GPCRs, class A rhodopsin-like	9	2	1.94801873408309e-13	262	55	0
<https://identifiers.org/wikipathways/WP5055_r122621>	WP5055	Burn wound healing	4	1	4.85530228140943e-07	109	54	9.91163475334967e-105
<https://identifiers.org/wikipathways/WP5224_r122740>	WP5224	2q37 copy number variation syndrome	27	3	2.59763104608839e-35	172	52	3.88610042947611e-213
<https://identifiers.org/wikipathways/WP536_r116854>	WP536	Calcium regulation in cardiac cells	14	1	3.3391486054007e-23	152	52	2.62432697505142e-181
<https://identifiers.org/wikipathways/WP3915_r122574>	WP3915	Angiopoietin-like protein 8 regulatory pathway	10	NA	NA	134	52	1.03352748162205e-151
<https://identifiers.org/wikipathways/WP3925_r117062>	WP3925	Amino acid metabolism	108	34	8.80293601011718e-58	94	47	1.61287288640832e-92
<https://identifiers.org/wikipathways/WP2431_r120812>	WP2431	Spinal cord injury	9	1	1.04451406653249e-15	117	47	2.53644389274584e-133
<https://identifiers.org/wikipathways/WP51_r116716>	WP51	Regulation of actin cytoskeleton	5	1	6.57900038131357e-09	151	47	3.35064780364922e-190
<https://identifiers.org/wikipathways/WP4658_r119261>	WP4658	Small cell lung cancer	6	1	1.0668649266995e-10	96	44	1.46625944499981e-102
<https://identifiers.org/wikipathways/WP4341_r122900>	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	5	1	6.57900038131357e-09	93	41	1.35912234669494e-103
<https://identifiers.org/wikipathways/WP15_r121694>	WP15	Selenium micronutrient network	110	21	1.07388776794373e-74	89	40	1.96954837625037e-98
<https://identifiers.org/wikipathways/WP4321_r106178>	WP4321	Thermogenesis	26	1	1.4801316501928e-38	108	40	1.06423328178338e-132
<https://identifiers.org/wikipathways/WP4932_r118797>	WP4932	7q11.23 copy number variation syndrome	19	4	1.34799402803776e-23	117	37	4.80451880576875e-155
<https://identifiers.org/wikipathways/WP1982_r116442>	WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	5	3	0.000148895936629889	69	36	2.55813325722479e-69
<https://identifiers.org/wikipathways/WP231_r120699>	WP231	TNF-alpha signaling pathway	3	1	4.46687809889667e-05	93	34	3.97544778682785e-119
<https://identifiers.org/wikipathways/WP4255_r119279>	WP4255	Non-small cell lung cancer	11	1	8.19226718849008e-19	72	34	1.19502577576842e-79
<https://identifiers.org/wikipathways/WP111_r117097>	WP111	Electron transport chain: OXPHOS system in mitochondria	12	1	2.61455335802875e-20	104	33	3.11084738857607e-141
<https://identifiers.org/wikipathways/WP4657_r120007>	WP4657	22q11.2 copy number variation syndrome	31	5	6.43198590322018e-36	154	31	2.15394129060256e-230
<https://identifiers.org/wikipathways/WP4718_r119764>	WP4718	Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	46	3	5.01714844508819e-55	47	31	5.99071613637644e-36
